MBK	ACC	OVV	EGG
0.237393	-0.135617	83.344937	-0.055716
0.277638	-0.144868	81.186590	-0.061231
0.277619	-0.149249	76.307852	-0.066200
0.236471	-0.148241	75.523109	-0.069943
0.196358	-0.142555	88.605944	-0.075083
0.171932	-0.134091	106.229146	-0.078364
0.212216	-0.122497	119.578262	-0.084081
0.303218	-0.115215	124.420345	-0.088232
0.333382	-0.116306	125.772005	-0.093058
0.275255	-0.121164	123.528166	-0.094817
0.173000	-0.116703	123.856059	-0.098013
0.054305	-0.106881	125.499696	-0.098969
-0.023447	-0.094838	129.766205	-0.100380
-0.028834	-0.079750	126.818773	-0.097279
0.014639	-0.057113	119.243346	-0.099214
0.067455	-0.018447	111.787161	-0.092391
0.028313	0.045208	115.669305	-0.092089
-0.040405	0.117664	117.279569	-0.081734
-0.065648	0.179728	111.501554	-0.086888
-0.045776	0.241171	83.150426	-0.024608
-0.047294	0.308961	42.568094	0.084742
-0.123581	0.339216	9.043166	0.113634
-0.343508	0.306298	-11.799610	0.135061
-0.546460	0.243136	-39.413048	0.149303
-0.646565	0.169698	-63.742346	0.159955
-0.700034	0.104045	-34.230608	0.158520
-0.799782	0.050426	30.862177	0.156940
-0.749106	0.007304	85.258216	0.150685
-0.346853	-0.018821	90.387722	0.140130
0.133298	-0.023783	66.805951	0.120289
0.435183	-0.012674	40.354889	0.099983
0.440276	0.006361	32.215170	0.078005
0.320586	0.018607	22.033096	0.061880
0.252241	0.021261	15.506515	0.047241
0.139420	0.016084	15.107620	0.033880
-0.020170	0.006748	26.043007	0.020809
-0.096350	-0.005000	46.558051	0.011329
-0.113420	-0.025692	68.083033	0.000107
-0.047171	-0.051937	77.538858	-0.012082
0.039643	-0.075504	77.753992	-0.025147
0.115740	-0.098798	76.272055	-0.036900
0.209867	-0.121244	81.752764	-0.047685
0.249744	-0.139163	85.406200	-0.055198
0.259545	-0.146257	78.358368	-0.059287
0.254361	-0.147360	69.484153	-0.064716
0.179240	-0.145822	74.867392	-0.068837
0.119775	-0.136495	91.379095	-0.073901
0.124019	-0.126212	109.401413	-0.078915
0.198126	-0.120229	120.851926	-0.085762
0.301639	-0.113968	123.826064	-0.089517
0.323183	-0.114850	122.664630	-0.094728
0.266535	-0.115828	124.218510	-0.097749
0.166534	-0.113658	123.549260	-0.101074
0.053738	-0.106527	124.657388	-0.102144
-0.007550	-0.097147	122.312852	-0.103966
-0.013604	-0.085233	118.672371	-0.101368
0.018706	-0.059237	115.333295	-0.102573
0.042145	-0.015176	117.038903	-0.097191
0.017660	0.040064	121.240987	-0.095691
-0.015951	0.110342	120.538929	-0.084251
0.000952	0.172853	106.266687	-0.088439
0.030781	0.236127	80.873155	-0.022679
-0.005539	0.307733	46.580222	0.085974
-0.122566	0.332850	13.224089	0.114018
-0.305720	0.301850	-11.257728	0.136458
-0.502311	0.240631	-43.701912	0.149246
-0.617325	0.168173	-64.798342	0.161929
-0.698672	0.106544	-31.518731	0.159677
-0.831406	0.052412	32.737013	0.161832
-0.743196	0.008502	82.715449	0.158176
-0.342900	-0.012961	89.070910	0.148555
0.120320	-0.021673	67.920179	0.129332
0.438958	-0.010755	43.376893	0.110171
0.437271	0.010355	32.045381	0.086920
0.337215	0.022948	19.865891	0.065329
0.248279	0.022716	13.384648	0.049856
0.094211	0.015351	12.080315	0.036874
-0.040810	0.006085	24.042780	0.024187
-0.116501	-0.008951	46.165206	0.013429
-0.145781	-0.027837	69.160780	0.002655
-0.079360	-0.046148	78.542058	-0.008769
-0.004446	-0.072703	79.861477	-0.022480
0.106070	-0.101614	78.531033	-0.034625
0.204512	-0.125218	76.592247	-0.043184
0.251157	-0.140857	80.021106	-0.050418
0.270736	-0.145303	77.070190	-0.055333
0.225848	-0.149264	74.380359	-0.060451
0.161392	-0.149259	77.186322	-0.063945
0.145224	-0.140165	90.926752	-0.069959
0.153923	-0.129529	107.276878	-0.074342
0.227595	-0.121080	121.682858	-0.078817
0.297165	-0.117060	125.917012	-0.083482
0.308925	-0.117280	124.900285	-0.088050
0.264504	-0.116772	123.572643	-0.091078
0.150164	-0.115308	127.492319	-0.095326
0.038322	-0.107763	127.854092	-0.095412
-0.015052	-0.096122	124.482086	-0.097587
-0.019001	-0.079237	117.405416	-0.095135
0.010297	-0.052702	113.849545	-0.095528
0.011557	-0.011788	114.511472	-0.089626
-0.012314	0.049025	118.801067	-0.089340
-0.023784	0.118016	116.623014	-0.077219
-0.021046	0.184338	107.216314	-0.082754
-0.019413	0.252006	78.678573	-0.004467
-0.052069	0.320909	42.308762	0.098535
-0.155138	0.336171	5.538081	0.123148
-0.350428	0.297886	-19.358319	0.144209
-0.529009	0.237698	-51.467042	0.157199
-0.648943	0.167728	-63.987730	0.167462
-0.731872	0.099462	-24.606161	0.170941
-0.843800	0.041674	38.988700	0.175602
-0.717770	0.000318	80.011776	0.164435
-0.304123	-0.021681	87.361969	0.151354
0.147257	-0.026037	66.883354	0.131549
0.428219	-0.012574	46.385426	0.110933
0.449141	0.009547	32.246802	0.088153
0.358287	0.021600	18.044528	0.066842
0.272469	0.023333	11.464206	0.049132
0.096555	0.017221	11.232243	0.037209
-0.060751	0.005268	25.476166	0.024337
-0.138464	-0.012452	44.641144	0.012913
-0.155881	-0.031830	66.491371	0.001582
-0.097926	-0.053662	77.945870	-0.009818
-0.009907	-0.078214	83.736425	-0.023011
0.100733	-0.105072	83.761413	-0.036486
0.214795	-0.124799	82.128773	-0.045861
0.269286	-0.138508	78.032821	-0.053302
0.266163	-0.146250	72.348620	-0.059159
0.207801	-0.147968	69.065363	-0.064576
0.124664	-0.142899	75.098034	-0.067765
