MBK	ACC	OVV	EGG
-0.315316	-0.111052	60.168334	-0.051863
-0.324399	-0.081325	66.473600	-0.056259
-0.239423	-0.071843	78.120115	-0.060838
-0.122970	-0.079803	91.725364	-0.063561
-0.025452	-0.093522	113.711756	-0.063922
0.096255	-0.095604	152.499903	-0.064382
0.221533	-0.081830	173.546719	-0.066299
0.286217	-0.057189	182.981661	-0.066734
0.314012	-0.027409	192.294993	-0.068025
0.321997	0.008208	186.734808	-0.069979
0.262522	0.040170	178.957835	-0.069427
0.161964	0.065319	166.700364	-0.065531
0.056625	0.097496	149.301121	-0.067387
-0.043612	0.173253	125.121878	-0.062139
-0.143640	0.311266	103.746119	-0.058685
-0.213188	0.469033	87.728546	0.014589
-0.258228	0.564124	61.676908	0.110632
-0.321099	0.508989	2.336971	0.123640
-0.461234	0.333513	-54.560447	0.128369
-0.568602	0.146441	-85.280992	0.124161
-0.591835	-0.007406	-77.208899	0.117882
-0.512888	-0.136938	-13.115209	0.108607
-0.261299	-0.210536	2.805643	0.096792
-0.125504	-0.182742	9.291877	0.081812
0.003410	-0.084346	53.998101	0.073859
0.266466	0.003628	94.215302	0.062592
0.429987	0.029638	126.246685	0.054466
0.519823	-0.002059	153.817965	0.042653
0.596041	-0.061143	160.478099	0.033002
0.586881	-0.132863	154.725275	0.020932
0.472824	-0.221400	139.859125	0.012710
0.300699	-0.299414	150.983292	0.000441
0.181898	-0.330271	129.188882	-0.009851
0.023178	-0.308971	87.691575	-0.021721
-0.153014	-0.257759	76.396800	-0.028727
-0.217901	-0.193871	60.980162	-0.038776
-0.289993	-0.134133	53.151355	-0.049303
-0.340292	-0.093836	63.573538	-0.059094
-0.282646	-0.072661	68.788434	-0.065417
-0.178602	-0.067889	83.056401	-0.066296
-0.073226	-0.076994	101.837530	-0.066692
0.042015	-0.089496	137.826661	-0.070003
0.175479	-0.090488	164.601283	-0.067729
0.264109	-0.072092	177.206952	-0.070014
0.300282	-0.041119	189.619855	-0.069378
0.329213	-0.006661	194.527899	-0.073409
0.305482	0.024109	183.059686	-0.070970
0.209869	0.049517	174.738092	-0.073630
0.101590	0.080534	156.506734	-0.070029
0.001007	0.131021	135.096456	-0.068651
-0.100726	0.232733	112.255547	-0.062843
-0.184307	0.377630	95.894556	-0.046365
-0.241388	0.510960	75.162299	0.061781
-0.288777	0.547759	35.874257	0.117469
-0.377134	0.435081	-27.858017	0.118185
-0.517082	0.247273	-62.263825	0.123532
-0.556914	0.073510	-86.621641	0.115587
-0.562196	-0.066309	-49.286487	0.110089
-0.400469	-0.173634	2.364420	0.099511
-0.166477	-0.202801	1.400063	0.086304
-0.083696	-0.141702	28.262556	0.074280
0.113089	-0.044736	75.493550	0.066601
0.346676	0.016360	105.352760	0.055759
0.455037	0.015702	137.051514	0.045455
0.542496	-0.030916	156.378632	0.037296
