MBK	ACC	OVV	EGG
-0.077625	-0.244671	119.487749	-0.006216
-0.097074	-0.216012	105.827481	-0.008377
-0.089036	-0.188664	95.807780	-0.008742
-0.055262	-0.160081	90.175403	-0.012958
-0.001664	-0.130082	98.746731	-0.013659
0.072631	-0.097177	111.231566	-0.015592
0.158229	-0.049922	130.927367	-0.013844
0.241826	0.008266	152.232135	-0.012117
0.312774	0.096430	171.232765	-0.011703
0.357725	0.193752	185.483111	-0.012291
0.365540	0.264657	184.633463	-0.007468
0.329757	0.312119	177.040008	0.003311
0.249859	0.328782	150.329818	0.014249
0.121582	0.304908	107.267302	0.022191
-0.041085	0.239373	54.327829	0.026333
-0.223560	0.142031	0.210193	0.028823
-0.400171	0.043481	-49.912926	0.030990
-0.540757	-0.044572	-85.904540	0.028029
-0.629449	-0.110944	-106.820181	0.025553
-0.643234	-0.134582	-107.421956	0.022633
-0.582854	-0.129961	-91.605152	0.018460
-0.457588	-0.099989	-62.344349	0.015265
-0.283917	-0.057831	-24.127497	0.011642
-0.097205	-0.026088	13.191144	0.008390
0.086136	-0.011112	53.728595	0.005585
0.230073	-0.028432	86.718079	0.002292
0.325995	-0.072648	113.969403	0.002233
0.362367	-0.125081	135.108297	0.002834
0.342405	-0.182748	150.021898	0.001370
0.281136	-0.229667	155.952226	-0.000266
0.196439	-0.262987	156.671522	-0.000792
0.104312	-0.282452	152.217015	-0.002202
0.016441	-0.277014	142.835647	-0.003752
-0.048814	-0.263785	128.758002	-0.005646
-0.091007	-0.241319	113.156219	-0.007485
-0.104325	-0.211610	99.624097	-0.009752
-0.093892	-0.184631	90.393035	-0.011707
-0.053301	-0.157171	90.558564	-0.013377
0.010044	-0.129891	101.220564	-0.014422
0.089674	-0.098974	117.635908	-0.014482
0.178060	-0.053250	139.423547	-0.014385
0.260512	0.005820	159.179965	-0.013116
0.325157	0.095282	177.372071	-0.012217
0.360279	0.185636	188.469947	-0.012192
0.359247	0.251263	189.817109	-0.009800
0.312706	0.295669	178.528207	0.000793
0.222829	0.313841	150.069106	0.011290
0.091290	0.297025	106.886201	0.020326
-0.071007	0.241585	56.226316	0.024546
-0.244237	0.148340	5.446435	0.028405
-0.412269	0.053462	-47.261662	0.029233
-0.544850	-0.033060	-83.974182	0.028478
-0.624870	-0.098880	-104.114249	0.026383
-0.636903	-0.131657	-108.336794	0.022008
-0.574794	-0.133948	-94.748827	0.018075
-0.453028	-0.108110	-66.368605	0.014886
-0.283870	-0.068983	-30.133698	0.009434
-0.096700	-0.039995	11.428465	0.006130
0.087923	-0.026953	54.818535	0.004119
0.237045	-0.044021	91.093536	0.003190
0.337802	-0.078838	118.060427	0.002418
0.378393	-0.125060	139.720169	0.003463
0.361707	-0.179210	151.290675	0.002741
0.301344	-0.224877	156.795162	0.002156
0.212507	-0.260151	160.410217	0.000081
0.117165	-0.280177	154.942621	-0.001682
0.027506	-0.282276	146.966655	-0.002800
-0.042262	-0.274738	129.293080	-0.005020
-0.085295	-0.254082	115.788087	-0.005752
-0.103666	-0.227177	101.665180	-0.007861
-0.092798	-0.195977	90.739749	-0.010905
-0.056270	-0.160942	94.785066	-0.011796
0.002929	-0.132161	101.247086	-0.012693
0.081161	-0.099496	118.165993	-0.014189
0.170450	-0.054675	137.247975	-0.013093
0.256428	0.002121	158.582445	-0.012735
0.321378	0.083172	177.108739	-0.012122
0.355200	0.172764	188.770921	-0.013003
0.350523	0.242570	189.697191	-0.009706
0.306314	0.284980	180.792543	-0.000313
0.222493	0.303585	153.444205	0.011742
0.093107	0.296085	113.247727	0.020101
-0.067282	0.241203	61.749892	0.025067
-0.240037	0.147870	6.052581	0.028052
-0.402413	0.054330	-40.522092	0.028673
-0.536367	-0.032024	-80.652945	0.028522
-0.620632	-0.102558	-103.854060	0.025482
-0.640948	-0.136098	-110.824781	0.020646
-0.589807	-0.140114	-96.278428	0.017615
-0.471974	-0.116164	-68.332531	0.013644
-0.303358	-0.082952	-32.192816	0.010944
-0.113646	-0.050173	11.065543	0.007009
0.070160	-0.031975	51.922296	0.003666
0.224282	-0.049102	86.953611	0.003908
